ID,CODE,SYSTEM,DISPLAY,DEFINITION
1,XXT,marital-status,Xx,XXX CODE
2,S,marital-status,Never Married,No marriage contract has ever been entered
3,T,marital-status,Domestic partner,Person declares that a domestic partner relationship exists
4,U,marital-status,unmarried,Currently not in a marriage contract
5,W,marital-status,Widowed,The spouse has died
6,UNK,marital-status,unknown,DescriptionA proper value is applicable but not known Usage Notes This means the actual value is not known If the only thing that is unknown is how to properly express the value in the necessary constraints value set datatype etc then the OTH or UNC flavor should be used No properties should be included for a datatype with this property unless Those properties themselves directly translate to a semantic of unknown Eg a local code sent as a translation that conveys unknown Those properties further qualify the nature of what is unknown Eg specifying a use code of H and a URL prefix of tel to convey that it is the home phone number that is unknown
11,A,marital-status,Annulled,Marriage contract has been declared null and to not have existed
12,D,marital-status,Divorced,Marriage contract has been declared dissolved and inactive
13,I,marital-status,Interlocutory,Subject to an Interlocutory Decree
14,L,marital-status,Legally Separated,Legally Separated
15,M,marital-status,Married,A current marriage contract is active
21,XX,marital-status,Xx,XXXCODE
31,SE,marital-status,Slow,A current marriage contract is active
32,SE1,marital-status,Slow,A current marriage contract is active
33,SE-,marital-status,Slow,A current marriage contract is active
41,S E,marital-status,Slow,A current marriage contract is active
44,SF,marital-status,Sl ow,A current marriage contract is active
