ID,CODE,SYSTEM,DISPLAY,DEFINITION
2,BP,relatedpersonrelationshiptype,Billing contact person,
3,C,relatedpersonrelationshiptype,Emergency Contact,
4,CP,relatedpersonrelationshiptype,Contact person,
5,E,relatedpersonrelationshiptype,Employer,
6,EP,relatedpersonrelationshiptype,Emergency contact person,
7,F,relatedpersonrelationshiptype,Federal Agency,
8,I,relatedpersonrelationshiptype,Insurance Company,
9,N,relatedpersonrelationshiptype,Next-of-Kin,
10,O,relatedpersonrelationshiptype,Other,
11,PR,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,Person preparing referral,
12,S,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,State Agency,
13,U,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,Unknown,
14,FAMMEMB,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,family member,A relationship between two people characterizing their "familial" relationship
15,CHILD,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,child,The player of the role is a child of the scoping entity.
16,CHLDADOPT,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,adopted child,The player of the role is a child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
17,DAUADOPT,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,adopted daughter,The player of the role is a female child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
18,SONADOPT,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,adopted son,The player of the role is a male child taken into a family through legal means and raised by the scoping person (parent) as his or her own child.
19,CHLDFOST,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,foster child,The player of the role is a child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.
20,DAUFOST,192.168.218.128:2008/f188bfb0a60c976b39a1e9dbbc94360d/relatedperson-relationshiptype,foster daughter,The player of the role is a female child receiving parental care and nurture from the scoping person (parent) but not related to him or her through legal or blood ties.
